iter   1.  lower bound: 12.07912, upper bound: 21
iter   2.  lower bound: 12.52955, upper bound: 21
iter   3.  lower bound: 12.60117, upper bound: 21
iter   4.  lower bound: 13.07361, upper bound: 21
iter   5.  lower bound: 13.07648, upper bound: 20
iter   6.  lower bound: 13.37006, upper bound: 20
iter   7.  lower bound: 13.44925, upper bound: 20
iter   8.  lower bound: 13.57652, upper bound: 19
iter   9.  lower bound: 13.84968, upper bound: 19
iter  10.  lower bound: 13.94710, upper bound: 19
iter  11.  lower bound: 14.00157, upper bound: 19
iter  12.  lower bound: 14.26611, upper bound: 19
iter  13.  lower bound: 14.33340, upper bound: 19
iter  14.  lower bound: 14.42741, upper bound: 19
iter  15.  lower bound: 14.45430, upper bound: 19
iter  16.  lower bound: 14.81514, upper bound: 19
iter  17.  lower bound: 14.81589, upper bound: 19
iter  18.  lower bound: 14.82432, upper bound: 19
iter  19.  lower bound: 14.85182, upper bound: 19
iter  20.  lower bound: 14.92944, upper bound: 19
iter  21.  lower bound: 14.97965, upper bound: 19
iter  22.  lower bound: 15.01624, upper bound: 19
iter  23.  lower bound: 15.17381, upper bound: 19
iter  24.  lower bound: 15.31726, upper bound: 19
iter  25.  lower bound: 15.35412, upper bound: 19
iter  26.  lower bound: 15.36936, upper bound: 19
iter  27.  lower bound: 15.42521, upper bound: 19
iter  28.  lower bound: 15.46653, upper bound: 19
iter  29.  lower bound: 15.47446, upper bound: 19
iter  30.  lower bound: 15.50535, upper bound: 19
iter  31.  lower bound: 15.52097, upper bound: 19
iter  32.  lower bound: 15.59739, upper bound: 19
iter  33.  lower bound: 15.62697, upper bound: 19
iter  34.  lower bound: 15.79106, upper bound: 19
iter  35.  lower bound: 15.79258, upper bound: 19
iter  36.  lower bound: 15.91686, upper bound: 19
iter  37.  lower bound: 15.96041, upper bound: 19
iter  38.  lower bound: 15.96547, upper bound: 19
iter  39.  lower bound: 15.98528, upper bound: 19
iter  40.  lower bound: 16.08896, upper bound: 19
iter  41.  lower bound: 16.11944, upper bound: 19
iter  42.  lower bound: 16.15250, upper bound: 19
iter  43.  lower bound: 16.24588, upper bound: 19
iter  44.  lower bound: 16.25045, upper bound: 19
iter  45.  lower bound: 16.31660, upper bound: 19
iter  46.  lower bound: 16.34954, upper bound: 19
iter  47.  lower bound: 16.36999, upper bound: 19
iter  48.  lower bound: 16.43214, upper bound: 19
iter  49.  lower bound: 16.44563, upper bound: 19
iter  50.  lower bound: 16.51838, upper bound: 19
iter  51.  lower bound: 16.60387, upper bound: 19
iter  52.  lower bound: 16.63828, upper bound: 19
iter  53.  lower bound: 16.66746, upper bound: 19
iter  54.  lower bound: 16.67080, upper bound: 19
iter  55.  lower bound: 16.73311, upper bound: 19
iter  56.  lower bound: 16.80755, upper bound: 19
iter  57.  lower bound: 16.80839, upper bound: 19
iter  58.  lower bound: 16.80977, upper bound: 19
iter  59.  lower bound: 16.82984, upper bound: 19
iter  60.  lower bound: 16.85996, upper bound: 19
iter  61.  lower bound: 16.87127, upper bound: 19
iter  62.  lower bound: 16.90278, upper bound: 19
iter  63.  lower bound: 16.95231, upper bound: 19
iter  64.  lower bound: 16.97597, upper bound: 19
iter  65.  lower bound: 17.11610, upper bound: 19
iter  66.  lower bound: 17.12761, upper bound: 19
iter  67.  lower bound: 17.16473, upper bound: 19
iter  68.  lower bound: 17.18564, upper bound: 19
iter  69.  lower bound: 17.19535, upper bound: 19
iter  70.  lower bound: 17.21784, upper bound: 19
iter  71.  lower bound: 17.23646, upper bound: 19
iter  72.  lower bound: 17.24411, upper bound: 19
iter  73.  lower bound: 17.27277, upper bound: 19
iter  74.  lower bound: 17.27300, upper bound: 19
iter  75.  lower bound: 17.29677, upper bound: 19
iter  76.  lower bound: 17.31027, upper bound: 19
iter  77.  lower bound: 17.32890, upper bound: 19
iter  78.  lower bound: 17.36185, upper bound: 19
iter  79.  lower bound: 17.37205, upper bound: 19
iter  80.  lower bound: 17.37812, upper bound: 19
iter  81.  lower bound: 17.40034, upper bound: 19
iter  82.  lower bound: 17.40082, upper bound: 19
iter  83.  lower bound: 17.40130, upper bound: 19
iter  84.  lower bound: 17.40487, upper bound: 19
iter  85.  lower bound: 17.44995, upper bound: 19
iter  86.  lower bound: 17.45355, upper bound: 19
iter  87.  lower bound: 17.47037, upper bound: 19
iter  88.  lower bound: 17.47422, upper bound: 19
iter  89.  lower bound: 17.49781, upper bound: 19
iter  90.  lower bound: 17.51483, upper bound: 19
iter  91.  lower bound: 17.53609, upper bound: 19
iter  92.  lower bound: 17.54555, upper bound: 19
iter  93.  lower bound: 17.54559, upper bound: 19
iter  94.  lower bound: 17.54984, upper bound: 19
iter  95.  lower bound: 17.57012, upper bound: 19
iter  96.  lower bound: 17.57768, upper bound: 19
iter  97.  lower bound: 17.61286, upper bound: 19
iter  98.  lower bound: 17.62295, upper bound: 19
iter  99.  lower bound: 17.64005, upper bound: 19
iter 100.  lower bound: 17.64717, upper bound: 19
iter 101.  lower bound: 17.69512, upper bound: 19
iter 102.  lower bound: 17.74674, upper bound: 19
iter 103.  lower bound: 17.75263, upper bound: 19
iter 104.  lower bound: 17.76246, upper bound: 19
iter 105.  lower bound: 17.77094, upper bound: 19
iter 106.  lower bound: 17.79007, upper bound: 19
iter 107.  lower bound: 17.79349, upper bound: 19
iter 108.  lower bound: 17.79718, upper bound: 19
iter 109.  lower bound: 17.83019, upper bound: 19
iter 110.  lower bound: 17.87240, upper bound: 19
iter 111.  lower bound: 17.87329, upper bound: 19
iter 112.  lower bound: 17.88281, upper bound: 19
iter 113.  lower bound: 17.90250, upper bound: 19
iter 114.  lower bound: 17.90440, upper bound: 19
iter 115.  lower bound: 17.91703, upper bound: 19
iter 116.  lower bound: 17.92242, upper bound: 19
iter 117.  lower bound: 17.93319, upper bound: 19
iter 118.  lower bound: 17.94829, upper bound: 19
iter 119.  lower bound: 17.95183, upper bound: 19
iter 120.  lower bound: 17.96673, upper bound: 19
iter 121.  lower bound: 17.97417, upper bound: 19
iter 122.  lower bound: 17.98042, upper bound: 19
iter 123.  lower bound: 17.99566, upper bound: 19
iter 124.  lower bound: 18.03875, upper bound: 19
done.
